ID,title,location,lat,long,days,captures,richness,animal.name,scientific.name,year,n_cams,bait,month.of.study,mean.temp.sampling.period,max.temp.sampling.period,mean.annual.temp,n_sites,sample.design,system,ecosystem,capture_rate,var_caprate,richness_rate,var_richnessrate
1.1,An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,"Los Amigos Conservation Concession, Peru",-12.55,-70.1,1440,508,21,NA,"Didelphis marsupialis, Myrmecophaga tridactyla, Tamandua tetradactyla, Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus spp., Priodontes maximus, Saimiri boliviensis, Atelocynus microtis, Speothos venaticus, Procyon cancrivorus, Nasua nasua, Eira barbara, Galictis vittata, Lontra longicaudis, Mustela african, Pteronura brasiliensis, Puma yagouarundi, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Tapirus terrestris, Mazama americana, Mazama gouazoubira, Tayassu pecari, Pecari tajacu, Dasyprocta punctata, Myoprocta acouchy, Sciurus spadiceus, Hydrochoerus hydrochaeris, Dinomys branickii, Cuniculus paca, Proechimys sp., Sylvilagus brasiliensis, Crypturellus undulaus yapura, Mitu tuberosa, Penelope jacquacu, Psophia leucoptera",2005,26,no,September-November,NA,NA,24,3,grid,tropical forest,tropical,19.53846153846154,0.7514792899408285,0.8076923076923077,0.03106508875739645
1.2,An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,NA,-12.55,-70.1,2340,814,27,NA,NA,2006,40,no,August-October,NA,NA,24,3,grid,tropical forest,tropical,20.35,0.50875,0.675,0.016875
5.1,Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation,"Volcan Barva TEAM site, Costa Rica",10.13,-84.1,825,22437,26,NA,"some: Cuniculus paca, Dasyprocta punctata, Dasypus novemcinctus, Eira barbara, Leopardus pardalis, Leopardus wiedii, Mazama temama, Nasua Narica, Panthera Onca, Pecari tajacu, Puma concolor, Puma yaguaroundi, Tapirus bardii",2008-2012,60,no,January-May,NA,NA,NA,1,denity along altitudinal gradient,tropical forest,tropical,373.95,6.2325,0.43333333333333335,0.007222222222222223
7.1,Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data,Udzungwa Mountains of south-central Tanzania,-7.7,8.7,1818,10647,26,NA,"Dendrohyrax arboreus, Loxodonta Africana,  Petrodromus tetradactylus, Rhynchocyon cirnei, Rhynchocyon udzungwensis, Atilax paludinosus, Bdeogale crassicauda, Civettictis civetta, Genetta servalina, Mellivora capensis, Mungos mungo, Nandinia binotata, Panthera pardus, Sanje mangabey Cercocebus sanjei, Cercopithecus, Papio cynocephalus, Procolobus gordonorum, Colobus angolensis Cricetomys gambianus, Hystrix africaeaustralis, Paraxerus vexillarius, Cephalophus harveyi, Cephalophus spadix, Suni Neotragus, Potamochoerus larvatus, Syncerus caffer",2009,60,no,July-November,NA,NA,23.5,60,grid,semi-decidous forest,deciduous,177.45,2.9575,0.43333333333333335,0.007222222222222223
8.1,Random versus Game Trail-Based Camera Trap Placement Strategy for Monitoring Terrestrial Mammal Communities,"Ruaha National Park (RNP), Tanzania",-7.65,34.91,10567,5167,41,NA,"Cercopithecus pygerythrus, Papio cynocephalus , Canis mesomelas, Octocyon megalotis, Lycaon pictus, Mellivora capensis, Mungos mungo, Bdeogale
crassicauda, Herpestes sanguinea , Ichneumia albicauda, Crocuta crocuta, Proteles cristata, Genetta genetta, Genetta tigrina, Civettictis civetta, Felis sylvestris, Felis serval, Felis caracal, Acinonyx jubatus, Panthera pardus, Panthera leo, Smutsia temminckii, Hystrix cristata, Orycteropus afer, Loxodonta africana, Equus quagga, Hippopotamus
amphibious, Potamochoerus larvatus, Phacochoerus africanus, Giraffa camelopardalis, Syncerus caffer, Tragelaphus scriptus, Tragelaphus
imberbis, Tragelaphus
strepsiceros",2013-2014,54,no,"Septmeber-November, December-February",NA,NA,20.5,1,grid,African savanna,grassland,95.68518518518519,1.7719478737997258,0.7592592592592593,0.014060356652949246
9.1,Oil palm plantations fail to support mammal diversity,"Danum Valley Conservation Area (DVCA) Sabah, Malaysian Borneo",4.96,117.69,1574,688,19,NA,NA,2013,53,no,January-April,NA,NA,26.9,1,transect,tropical forest,tropical,12.981132075471699,0.24492702029191885,0.3584905660377358,0.006763972944108223
9.2,Oil palm plantations fail to support mammal diversity,NA,4.96,117.69,1191,889,17,NA,NA,2013,38,no,January-April,NA,NA,26.9,1,transect,plantation,tropical,23.394736842105264,0.6156509695290859,0.4473684210526316,0.011772853185595568
11.1,Domestic dogs in Atlantic forest preserves of south-eastern Brazil: a camera-trapping study on patterns of entrance and site occupancy rates,"Santa Lucia Biological Station, Brazil",-19.96,-40.51,2142,292,21,NA,"Dasyprocta leporrina, Didelphis aurita, Cuniculus paca, Canis lupus, Metachirus nudicaudatus, Procyon cancrivorus, Dasypus novecinctus, Puma conclor, Pecari tajacu, Nasua nasua, Rodentia sp., Cabassous sp., Cerdocyon sous, Sylvilagus brasiliensis, Sciurus aestuans, Eira barbara, Leopardus tigris, Puma yagouaroundi, Didelphimorphia sp., Euphractus sexcinctus, Hydrochoerus hydrochaeris, Philander frenatus.",2002-2004,28,no,February-February,NA,NA,19.9,12,distance,"tropical forest, plantation",tropical,10.428571428571429,0.37244897959183676,0.75,0.026785714285714284
13.1,"CAMERA-TRAPPING SURVEY OF MAMMALS IN AND AROUND IMBAK CANYON CONSERVATION AREA IN SABAH, MALAYSIAN BORNEO","Imbak Canyon Conservation Area, Sabah, Malaysia",5.59,11.69,1436,1641,27,NA,"Neofelis diardi, Pardofelis marmorata, Prionailurus bengalensis , Viverra tangalunga, Hemigalus derbyanus , Paguma larvata, Arctictis binturong, Prionodon linsang , Martes fl avigula , Lutrogale perspicillata , Herpestes semitorquatus, H. brachyurus, Helarctos malayanus, Muntiacus spp. , Rusa unicolor , Tragulus spp. , Sus barbatus , Manis javanica , Hystrix brachyura , Trichys fasciculata , Hystrix crassispinis, Rheithrosciurus macrotis , Macaca fascicularis , M. nemestrina , Presbytis rubicunda, P. hosei , Pongo pygmaeus",2012,80,no,July-Septmeber,NA,NA,NA,60,"animal frequency, distance",tropical forest,tropical,20.5125,0.25640625,0.3375,0.00421875
14.1,Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community,Ngamiland District of northern Botswana,-19.51,23.61,6607,8668,44,NA,NA,2015,88,no,February-July,NA,NA,NA,44,grid,dryland,desert,98.5,1.1193181818181819,0.5,0.005681818181818182
15.1,"Terrestrial mammal species richness and composition in three small forest patches within an oil palm landscape in Sabah, Malaysian Borneo","Tabin Wildlife reserve, Sabah Malaysia, Northern Borneo",5.22,118.63,3733,1871,26,NA,"Muntiacus spp., Rusa unicolor, Bos javanicus, Sus barbatus, Tragulus spp., Neofelis diardi, Pardofelis badia, Prionailurus bengalensis, Pardofelis marmorata, Martes flavigula, Mustela nudipes, Mydaus javanensis, Helarctos malayanus, Hemigalus derbyanus , Viverra tangalunga, Paradoxurus hermaphroditus, Herpestes spp., Echinosorex gymnura, Macaca fascicularis, Macaca nemestrina, Pongo pygmaeus morio, Elephas maximus borneensis, Hystrix brachyura, Hystrix crassispinis, Trichys fasciculata , Tupaia spp.","2009, 2010",15,no,NA,NA,NA,30.5,15,trail,tropical forest,tropical,124.73333333333333,8.315555555555555,1.7333333333333334,0.11555555555555556
17.1,How long is enough to detect terrestrial animals? Estimating the minimum trapping effort on camera traps,Gutianshan National Nature Reser,29.25,118.12,13824,1727,10,NA,"Bambusicola thoracicus, Lophura nycthemera, Syrmaticus ellioti, Pucrasia macrolopha, Picus canus, Pitta nympha, Zoothera dauma, Turdus obscurus, Turdus pallidus, Garrulax pectoralis, Niviventer confucianus, Leopoldamys edwardsi , Callosciurus erythraeus, Arctonyx collaris, Melogale moschata, Meles meles, Sus scrofa, Muntiacus reevesi , Muntiacus crinifrons",2009-2011,19,no,April-September,NA,NA,15.3,600,haphazard,evergreen forest,coniferous,90.89473684210526,4.78393351800554,0.5263157894736842,0.027700831024930747
18.1,"Impact of land use on occupancy and abundance of terrestrial mammals in the Drakensberg Midlands, South Africa","Fort Nottingham and Mooi River, South Africa",-10.48,30.01,1320,3575,25,NA,NA,2012-2013,15,no,October-January,NA,NA,21.58,44,grid,woodland,deciduous,238.33333333333334,15.88888888888889,1.6666666666666667,0.11111111111111112
19.1,Terrestrial mammal responses to habitat structure and quality of remnant riparian forests in an Amazonian cattle-ranching landscape,"Alta Floresta, Brazil",-9.88,-56.48,10441,4459,25,NA,NA,"2013, 2014",45,no,May-October,NA,NA,27,10,distance,tropical forest,tropical,99.08888888888889,2.201975308641975,0.5555555555555556,0.01234567901234568
24.1,Grain-dependent responses of mammalian diversity to land use and the implications for conservation set-aside,Sabah Malaysian Borneo,5.9788,116.0753,26251,12788,13,NA,NA,20112-2014,543,no,May-March,NA,NA,26.9,3,"grid, haphazard","tropical forest, plantatation",tropical,23.550644567219152,0.04337135279414209,0.02394106813996317,4.409036489864304e-5
29.1,Flood-mediated use of habitat by large and midsized mammals in the Brazilian Pantanal,"Rio Platano, Honduras",15.74,-84.65,2040,116,18,NA,NA,2008,48,no,May-August,NA,NA,26.6,19,distance,tropical forest,tropical,2.4166666666666665,0.05034722222222222,0.375,0.0078125
30.1,Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps,Maijuna-Kichwa Conservation area,-3.1,-72.9,3147,703,18,NA,"Alouatta seniculus, Lagothrix lagothrica, Callicebus lucifer, Callicebus discolor, Pithecia hirsuta, Aotus vociferans, Cebus yuracus, Saimiri macrodon, Leontocebus nigricollis, Cebuella pygmaea, Tamandua tetradactyla, Choloepus didactylus, Sciurus igniventris, Sciurus igniventris, Coendou prehensilis, Eira barbara, Potos flavus, Bassaricyon alleni, Caluromys lanatus",2013-2014,42,no,November-December,NA,NA,NA,1,grid,tropical forest,tropical,16.738095238095237,0.39852607709750565,0.42857142857142855,0.01020408163265306
31.1,Logging and indigenous hunting impacts on persistence of large Neotropical animals,"Iwokrama Forest, Guyana",4.5,-59,808,270,17,NA,NA,NA,25,no,June-August,NA,NA,2,1,diameter,tropical forest,tropical,10.8,0.43200000000000005,0.68,0.027200000000000002
31.2,Logging and indigenous hunting impacts on persistence of large Neotropical animals,NA,4.5,-59,805,180,15,NA,NA,NA,27,no,NA,NA,NA,NA,1,diameter,tropical forest,tropical,6.666666666666667,0.2469135802469136,0.5555555555555556,0.0205761316872428
33.1,"A Direct Comparison of Camera-Trapping and Sign Transects for Monitoring Wildlife in the Wanglang National Nature Reserve, China","Wanlang National Centre Reserve, China",32.93,104.05,3793,312,21,NA,NA,2004-2005,12,no,Septmeber-October,NA,NA,23.2,2,"trail, distance","mixed forest, meadow",deciduous,26,2.1666666666666665,1.75,0.14583333333333334
35.1,High Carbon Stock forests provide co-benefits for tropical biodiversity,"Kalabakan Reserve, Sabah Malaysian Borneo",4.7,116.95,4669,3237,28,NA,NA,NA,25,no,NA,NA,NA,26.9,1,distance,"forest logged/unlogged, oil palm plantation",tropical,129.48,5.1792,1.12,0.044800000000000006
37.1,Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,"Uzungwa Forest Reserve, Tanzania",-7.013,36.011388,850,714,15,NA,NA,2013-2014,60,no,December-January,NA,NA,NA,1,grid,"evergreen forest, deciduous forest",deciduous,11.9,0.19833333333333333,0.25,0.004166666666666667
37.2,Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,"Mwanihana Forest, Tanzania",-7.013,36.011388,917,984,23,NA,NA,2013,42,no,July-November,NA,NA,NA,3,grid,"evergreen forest, deciduous forest",deciduous,23.428571428571427,0.5578231292517006,0.5476190476190477,0.013038548752834469
38.1,"Predictors of mammal species richness in KwaZulu-Natal, South Africa","Kwazulu-Natal, South Africa",-28.53,30.89,882,2971,38,NA,NA,2012-2013,10,no,January-April,NA,NA,NA,4,distance,variety,mixed,297.1,29.71,3.8,0.38
42.1,Modelling fine-scale habitat associations of medium-to-large forest mammals in the Udzungwa Mountains of Tanzania using camera trapping,"Udzungwa Mountains, Tanzania",-7.76,36.85,1818,12911,26,NA,"Cricetomys gambianus Waterhouse, Bdeogale crassicauda, Cephalophus harveyi , Nesotragus moschatus, Cercocebus sanjei, Rhynchocyon udzungwensis, Paraxerus vexillarius, Dendrohyrax validus, Cephalophus spadix, Genetta servalina Pucheran, Potamochoerus larvatus, Cercopithecus mitis Wolf, Petrodromus tetradactylus, Mellivora capensis, Loxodonta africana,Nandinia binotata, Syncerus caffer, Atilax paludinosus, Colobus angolensis, Panthera pardus, Procolobus gordonorum, Mungos mungo, Tragelaphus scriptus, Papio cynocephalus, Rhynchocyon cirnei, Thryonomys swinderianus",2013,8,no,July-November,NA,NA,NA,10,distance,mountain,grassland,1613.875,201.734375,3.25,0.40625
51.1,"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data (vol 9, e103300, 2014)",NA,-7.77,36.7,1818,10647,26,NA,NA,2009,15,no,July-November,19.9,NA,NA,3,grid,"mountain, most forest",deciduous,709.8,47.32,1.7333333333333334,0.11555555555555556
53.1,"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda","Murchison Falls Conservation Area, Uaganda",2.1458,31.81,1089,1756,27,NA,"Phacochoerus africanus , Kobis kob, Alcelaphus buselaphus, Ourebia ourebi, Syncerus caffer, Kobus ellipsiprymnus, Loxodonta africana, Giraffa camelopardis rothschildi, Hippopotamus amphibious, Papio anubis, Crocuta crocuta, Hystrix cristata, Tragelaphus scriptus, Erythrocebus patas, Orycteropus afer, Panthera pardus, Sylvicapra grimmia , Poelagus marjorita, Genetta maculata, Potamochoerus larvatus, Potamochoerus larvatus, Xerus erythropus, Panthera leo, Redunca redunca, Cricetomys gambianus, Herpestes ichneumon, Canis mesomelas",2014,38,no,May-August,NA,NA,25.5,6,distance,forest,deciduous,46.21052631578947,1.2160664819944598,0.7105263157894737,0.018698060941828253
55.1,"First structured camera-trap surveys in Karen State, Myanmar, reveal high diversity of globally threatened mammals","Karen State, Myanmar",16.95,97.95,9511,4191,31,NA,NA,2014-2015,30,no,December-July,NA,NA,NA,2,haphazard,tropical forest,tropical,139.7,4.656666666666666,1.0333333333333334,0.03444444444444445
57.1,Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient,"Northeastern Amazon, Brazil",0.92,-51.59,827,232,6,NA,NA,2016,39,no,June-July,NA,NA,NA,2,distance,tropical forest,tropical,5.948717948717949,0.1525312294543064,0.15384615384615385,0.0039447731755424065
59.1,"Free-ranging livestock influence species richness, occupancy, and daily behaviour of wild mammalian species in Baluran National Park, Indonesia","Baluran National Park, Indonesia",-7.83,114.39,1562,23021,11,NA,"B. javanicus, B. bubalis, P. pardus, R. timorensis, S. scrofa, M. muntjak, C. alpinus, T. auratus, H. javanica, P. bengalensis and P. hermaphroditus",2015-2016,25,no,August-January,NA,NA,NA,5,distance,"savanna, lowland forest",grassland,920.84,36.833600000000004,0.44,0.0176
64.1,"Medium and large-sized mammals of the Reserva Ecologica de Guapiacu, Cachoeiras de Macacu, RJ",The Reserva Ecologica de Guapiacu,-22.37,-42.76,1589,302,12,NA,NA,2012,120,no,January-October,22.4,NA,NA,4,trail,subtropical forest,tropical,2.5166666666666666,0.020972222222222222,0.1,8.333333333333334e-4
72.1,Ecological correlates of mammal beta-diversity in Amazonian land-bridge islands: from small- to large-bodied species,Balbina Hydroelectric Reserve,-1.8,-59.48,48350,6290,22,NA,NA,"2011, 2012",16,no,NA,NA,NA,NA,4,transect,tropical forest,tropical,393.125,24.5703125,1.375,0.0859375
73.1,"Large mammal richness in Llanganates National Park, Ecuador","Central Andes, Ecuador",-1.14,-78.24,2320,344,13,NA,NA,2016,58,no,February-August,NA,NA,NA,2,haphazard,mountain,tropical,5.931034482758621,0.10225921521997622,0.22413793103448276,0.0038644470868014267
75.1,Seasonal dynamics of terrestrial vertebrate abundance between Amazonian flooded and unflooded forests,"Médio Juruá Extractive Reserve, Brazil",-5.35,-67.7,10447,4059,21,NA,NA,"2013, 2015",6,no,March-April,NA,NA,27.1,1,distance,tropical,tropical,676.5,112.75,3.5,0.5833333333333334
76.1,Biodiversity conservation in the Madrean sky islands: community homogeneity of medium and large mammals in northwestern Mexico,"Sorona, Mexico",29.3,-110.33,6668,8243,25,NA,"Odocoileus virginianus, Odocoileus hemionus , Pecari tajacu , Procyon lotor , Nasua narica , Bassariscus astutus , Spilogale gracilis , Mephitis mephitis , Mephitis macroura , Conepatus leuconotus , Taxidea taxus, Ursus americanus , Urocyon cinereoargenteus , Canis latrans , Panthera onca , Puma concolor , Lynx rufus , Leopardus pardalis , Sylvilagus floridanus , Sylvilagus audubonii , Lepus alleni , Otospermophilus variegatus , Sciurus nayaritensis , Sciurus arizonensis , Didelphis virginiana",2009,10,no,April-November,NA,NA,17,1,tree mount,dryland,desert,824.3,82.42999999999999,2.5,0.25
79.1,The application of camera trapping to assess Rallidae species richness within palustrine wetland habitat in South Africa,"Ingula Nature Reserve, South Africa",-28.2,29.56,566,445,15,NA,"Ixobrychus minutus, Microcarbo africanus, Amaurornis flavirostra, Porzana porzana, Balearica regulorum, Bugeranus carunculatus , Anas undulata , Sarothrura rufa, Plectropterus gambensis, Circus ranivorus, Ardea cinerea, Alcedo cristata, Tyto capensis, Rallus caerulescens, Gallinago nigripennis",NA,9,no,NA,NA,NA,NA,1,haphazard,grassland,grassland,49.44444444444444,5.493827160493827,1.6666666666666667,0.1851851851851852
88.1,Assessing the Status of Wild Felids in a Highly-Disturbed Commercial Forest Reserve in Borneo and the Implications for Camera Trap Survey Design,"Kalabakan Forest Reserve, Malaysia",4.55,117.26,873,504,4,NA,NA,2011,135,no,May-December,NA,NA,NA,1,grid,deciduous forest,deciduous,3.7333333333333334,0.027654320987654323,0.02962962962962963,2.1947873799725651e-4
90.1,"The diversity, status and conservation of small carnivores in a montane tropical forest in northern Laos","Louey National Protected Area, Laos",20,103.5,8499,472,14,NA,"Mustela strigidorsa, Martes flavigula, Arctonyx collaris, Aonyx cinereus, Viverra zibetha, Viverricula indica, Prionodon pardicolor, Paguma larvata, Paradoxurus
hermaphroditus, Chrotogale owstoni, Herpestes urva, Prionailurus bengalensis, Pardofelis temminckii, Pardofelis marmorata",2003-2006,250,no,March-April,NA,NA,17.5,5,grid,"evergreen forest, deciduous forest",deciduous,1.888,0.007552,0.056,2.24e-4
91.1,"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program","Caxiuana National Forest, Brazil",-1.79,-51.43,2838.3500000000004,236,17,NA,"Psophia vividis, Mitu tuberosa, Tayassu tajacu, Tapirus terrestris, Puma concolor, Priodontes
maximus, Panthera onca, Nasua nasua, Myrmecophaga
tridactyla, Mazama
gouazoubira, Mazama
americana, Leopardus
pardalis, Eira Barbara, Didelphis
marsupialis, Dasypus
novemcinctus, Dasyprocta agouti, Agouti paca",2002-2003,24,no,November-December,NA,NA,26,24,NA,tropical forest,tropical,9.833333333333334,0.40972222222222227,0.7083333333333334,0.02951388888888889
93.1,Mammal diversity and conservation in a secondary forest in Peninsular Malaysia,"Jerangau Forest Reserve, Malaysia",4.91,103.08,5972,2121,33,NA,NA,2000-2001,24,no,February-October,NA,NA,NA,1,trail,deciduous forest,deciduous,88.375,3.6822916666666665,1.375,0.057291666666666664
97.1,Ecological Relationships of Meso-Scale Distribution in 25 Neotropical Vertebrate Species,"Amapá National Forest, Brazil",0.925,-51.59,1800,649,25,NA,"Crax alector, Psophia crepitans, Crypturellus erythropus, Tinamus major, Mazama americana, Mazama nemorivaga, Pecari tajacu, Tapirus terrestris, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Eira barbara, Nasua nasua, Procyon cancrivorus, Speothos venaticus, Dasypus kappleri, Dasypus novemcinctus, Myrmecophaga tridactyla, Tamandua tetradactyla , Didelphis marsupialis, Cuniculus paca, Dasyprocta leporina, Myoprocta acouchy, Sciurus aestuans",2013-2014,30,no,"October-December, March-June",NA,NA,NA,1,trail,tropical forest,tropical,21.633333333333333,0.7211111111111111,0.8333333333333334,0.02777777777777778
102.1,Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos,"ien Shan Mountains, SaryChat Kyrgyzstan",41.96,78.53,1140,117,6,NA,NA,2005,44,no,June-December,NA,NA,NA,1,distance,Mountain,deciduous,2.659090909090909,0.06043388429752066,0.13636363636363635,0.003099173553719008
102.2,Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos,"Jangart,  Kyrgyzstan",41.85,78.98,1220,118,7,NA,NA,NA,48,no,NA,NA,NA,NA,1,distance,Mountain,deciduous,2.4583333333333335,0.05121527777777778,0.14583333333333334,0.0030381944444444445
107.1,"Replacement of native by non-native animal communities assisted by human introduction and management on Isla Victoria, Nahuel Huapi National Park","Nahuel Huapi National Park, Argentina",-40.95,-71.55,1253,710,8,NA,NA,NA,8,no,NA,NA,NA,NA,8,transect,woodland forest,deciduous,88.75,11.09375,1,0.125
109.1,Using Camera Traps to Assess Mammal and Bird Assemblages in a Midwestern Forest,"Daniel Boone Field Station, Missouri, USA",38.65,90.85,2245,483,16,NA,NA,2015,42,no,June-July,24.2,NA,NA,2,height,woodland forest,deciduous,11.5,0.27380952380952384,0.38095238095238093,0.009070294784580499
110.1,Conservation implications for jaguars and other neotropical mammals using highway underpasses,"Yucatan Peninsula, Mexico",20.75,-87.25,10166,2559,15,NA,NA,2016-2017,28,no,July-July,NA,33,30,1,height,urban,tropical,91.39285714285714,3.264030612244898,0.5357142857142857,0.01913265306122449
112.1,Gap analysis and implications for seasonal management on a local scale,"Yanshan Mountains, China",40.56,117.43,22379,1736,15,NA,NA,2015,26,no,September-December,NA,17.6,7.6,1,distance,mountain,deciduous,66.76923076923077,2.5680473372781067,0.5769230769230769,0.022189349112426034
114.1,"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil",MSDR,-2,-65,2040,1154,20,NA,NA,2013-2014,51,no,NA,NA,NA,29.5,1,grid,tropical forest,tropical,22.627450980392158,0.4436755094194541,0.39215686274509803,0.007689350249903883
114.2,"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil",ASDR,-2.35,-64.266,2070,2289,21,NA,NA,2013-2014,50,no,NA,NA,NA,NA,1,grid,tropical forest,tropical,45.78,0.9156,0.42,0.0084
115.1,"Estimating mammalian diversity and relative abundance using camera traps in a tropical deciduous forest of kuldiha Wildlife Sanctuary, eastern India","Kuldiha Wildlife Sanctuary, Eastern India",21.63,86.63,915,912,20,NA,NA,2013,65,no,January-August,NA,24,16,1,grid,semi-deciduous forest,deciduous,14.03076923076923,0.21585798816568047,0.3076923076923077,0.004733727810650888
116.1,"Camera trapping of terrestrial animals in Tanjung Datu National Park, Sarawak, Borneo","Tanjung Datu National Park, Sarawak, Borneo",2.0554,109.642,2490,1189,21,NA,NA,2013-2015,23,no,July-October,NA,23,NA,1,height,trpical forest,tropical,51.69565217391305,2.2476370510396975,0.9130434782608695,0.03969754253308128
117.1,Mediterranean mesocarnivores in spatially structured managed landscapes: community organisation in time and space,"Charneca, Portugal",38.7841,9.147,6496,1645,5,NA,NA,NA,54,no,NA,NA,NA,NA,1,"distance, haphazard",deciduous forest,deciduous,30.462962962962962,0.5641289437585734,0.09259259259259259,0.0017146776406035665
119.1,Habitat preferences of medium/large mammals in human disturbed forests in Central Japan,"Akiyama Region, Japan",138.66,36.85,4568.6,724,13,NA,NA,"2008, 2009",30,no,June-October,NA,NA,10,1,height,coniferous forest,coniferous,24.133333333333333,0.8044444444444444,0.43333333333333335,0.014444444444444446
